label,variant,ar1_alpha,log_clip,inv_beta,use_ar1,use_log,elapsed_s,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,dishes_day2,dishes_day3,dishes_day4,dishes_3day,gate_a,gate_b,gate_c,gate_d,gate_e,target,passed_strict,delta_fold_min,delta_fold_median,delta_mean,delta_dishes_3d,min_fold_delta,max_dd_ratio,sharpe
1b_a1.5_c7_b0.6,1b,1.5,7,0.6,True,True,44.7,461732,456092,461732,494423,461732,456092,461732,467142.2,1412246,22.7463,25488,21301,8595,16271,46167,True,True,True,True,True,True,True,9892,5474.0,6182.799999999988,19966,4600,1.029152870871356,22.7463
1b_a0.5_c10_b0.6,1b,0.5,10,0.6,True,True,64.4,461294,456062,461294,494429,461294,456062,461294,466874.6,1411785,22.6182,25604,21307,8158,16241,45706,True,True,True,True,True,True,True,9862,5036.0,5915.199999999953,19505,4606,1.0338367116207705,22.6182
1b_a0.5_c7_b0.6,1b,0.5,7,0.6,True,True,77.9,461446,456048,461446,494536,461446,456048,461446,466984.4,1412029,22.5868,25404,21414,8309,16227,45950,True,True,True,True,True,True,True,9848,5188.0,6025.0,19749,4713,1.0257611241217799,22.5868
1b_a1.5_c5_b0.6,1b,1.5,5,0.6,True,True,52.8,461468,455960,461468,494331,461468,455960,461468,466939.0,1411758,22.6817,25592,21209,8331,16139,45679,True,True,True,True,True,True,True,9760,5210.0,5979.599999999977,19478,4508,1.0333521763708309,22.6817
1b_a2.0_c7_b0.6,1b,2.0,7,0.6,True,True,52.1,462662,455892,462662,494112,462662,455892,462662,467598.0,1412665,23.0882,25488,20990,9525,16071,46586,True,True,True,True,True,True,True,9692,6404.0,6638.599999999977,20385,4289,1.029152870871356,23.0882
1b_a2.5_c10_b0.6,1b,2.5,10,0.6,True,True,48.7,462558,455872,462558,493639,462558,455872,462558,467437.0,1412068,23.3544,25592,20517,9421,16051,45989,True,True,True,True,True,True,True,9672,6300.0,6477.599999999977,19788,3816,1.0333521763708309,23.3544
1b_a2.0_c10_b0.6,1b,2.0,10,0.6,True,True,52.1,461840,455872,461840,493994,461840,455872,461840,467077.2,1411706,22.9486,25592,20872,8704,16051,45627,True,True,True,True,True,True,True,9672,5582.0,6117.799999999988,19426,4171,1.0333521763708309,22.9486
1b_a0.5_c5_b0.6,1b,0.5,5,0.6,True,True,199.0,462164,455848,462164,494193,462164,455848,462164,467306.6,1412205,22.8965,25604,21071,9028,16027,46126,True,True,True,True,True,True,True,9648,5906.0,6347.199999999953,19925,4370,1.0338367116207705,22.8965
1b_a1.0_c7_b0.6,1b,1.0,7,0.6,True,True,49.3,461568,455688,461568,494433,461568,455688,461568,466965.0,1411688,22.5362,25488,21311,8431,15867,45609,True,True,True,True,True,True,True,9488,5310.0,6005.599999999977,19408,4610,1.029152870871356,22.5362
1b_a1.0_c10_b0.6,1b,1.0,10,0.6,True,True,55.9,461416,455672,461416,494452,461416,455672,461416,466874.4,1411540,22.4808,25592,21330,8280,15851,45461,True,True,True,True,True,True,True,9472,5158.0,5915.0,19260,4629,1.0333521763708309,22.4808
1b_a1.5_c10_b0.6,1b,1.5,10,0.6,True,True,45.1,461416,455668,461416,494305,461416,455668,461416,466844.2,1411389,22.5675,25592,21183,8280,15847,45310,True,True,True,True,True,True,True,9468,5158.0,5884.799999999988,19109,4482,1.0333521763708309,22.5675
1b_a1.0_c5_b0.6,1b,1.0,5,0.6,True,True,52.7,461468,455660,461468,494478,461468,455660,461468,466908.4,1411605,22.4732,25592,21356,8331,15839,45526,True,True,True,True,True,True,True,9460,5210.0,5949.0,19325,4655,1.0333521763708309,22.4732
1b_a0.5_c10_b0.4,1b,0.5,10,0.4,True,True,52.0,461638,455468,461638,494223,461638,455468,461638,466921.0,1411328,22.5912,25198,21101,8501,15647,45249,True,True,True,True,True,True,True,9268,5380.0,5961.599999999977,19048,4400,1.0174432689978197,22.5912
1b_a2.0_c10_b0.1,1b,2.0,10,0.1,True,True,51.1,462882,455398,462882,494371,462882,455398,462882,467683.0,1412651,22.7677,25398,21249,9746,15577,46572,True,True,True,True,True,True,True,9198,6624.0,6723.599999999977,20371,4548,1.02551885649681,22.7677
1b_a2.5_c10_b0.2,1b,2.5,10,0.2,True,True,49.3,463006,455298,463006,493987,463006,455298,463006,467660.6,1412291,22.9887,25502,20865,9870,15477,46212,True,True,True,True,True,True,True,9098,6748.0,6701.199999999953,20011,4164,1.0297181619962852,22.9887
1b_a2.0_c10_b0.4,1b,2.0,10,0.4,True,True,58.5,462462,455298,462462,493982,462462,455298,462462,467333.2,1411742,22.8655,25502,20860,9326,15477,45663,True,True,True,True,True,True,True,9098,6204.0,6373.799999999988,19462,4159,1.0297181619962852,22.8655
1b_a2.5_c10_b0.1,1b,2.5,10,0.1,True,True,41.9,463006,455298,463006,494335,463006,455298,463006,467730.2,1412639,22.7749,25502,21213,9870,15477,46560,True,True,True,True,True,True,True,9098,6748.0,6770.799999999988,20359,4512,1.0297181619962852,22.7749
1b_a2.5_c10_b0.4,1b,2.5,10,0.4,True,True,48.7,462462,455298,462462,494397,462462,455298,462462,467416.2,1412157,22.613,25502,21275,9326,15477,46078,True,True,True,True,True,True,True,9098,6204.0,6456.799999999988,19877,4574,1.0297181619962852,22.613
1b_a2.0_c10_b0.2,1b,2.0,10,0.2,True,True,58.3,462462,455298,462462,494816,462462,455298,462462,467500.0,1412576,22.3636,25502,21694,9326,15477,46497,True,True,True,True,True,True,True,9098,6204.0,6540.599999999977,20296,4993,1.0297181619962852,22.3636
1b_a0.5_c10_b0.2,1b,0.5,10,0.2,True,True,61.1,461638,455274,461638,494132,461638,455274,461638,466864.0,1411043,22.5671,25194,21010,8501,15453,44964,True,True,True,True,True,True,True,9074,5380.0,5904.599999999977,18763,4309,1.0172817572478399,22.5671
1b_a0.5_c10_b0.1,1b,0.5,10,0.1,True,True,78.6,461444,455274,461444,494132,461444,455274,461444,466747.6,1410849,22.5199,25194,21010,8307,15453,44770,True,True,True,True,True,True,True,9074,5186.0,5788.199999999953,18569,4309,1.0172817572478399,22.5199
1b_a2.5_c7_b0.6,1b,2.5,7,0.6,True,True,44.9,462940,455168,462940,493886,462940,455168,462940,467574.8,1411994,22.979,25488,20764,9804,15347,45915,True,True,True,True,True,True,True,8968,6682.0,6615.399999999965,19714,4063,1.029152870871356,22.979
1b_a2.5_c5_b0.6,1b,2.5,5,0.6,True,True,45.7,461910,455078,461910,493271,461910,455078,461910,466815.8,1410260,23.0811,25592,20149,8774,15258,44181,True,True,True,True,True,True,True,8878,5652.0,5856.399999999965,17980,3448,1.0333521763708309,23.0811
1b_a2.0_c5_b0.6,1b,2.0,5,0.6,True,True,56.5,462502,455078,462502,493930,462502,455078,462502,467302.8,1411511,22.8128,25592,20808,9366,15258,45432,True,True,True,True,True,True,True,8878,6244.0,6343.399999999965,19231,4107,1.0333521763708309,22.8128
1b_a1.5_c10_b0.4,1b,1.5,10,0.4,True,True,45.3,461698,454894,461698,494274,461698,454894,461698,466852.4,1410866,22.3428,25502,21152,8562,15073,44787,True,True,True,True,True,True,True,8694,5440.0,5893.0,18586,4451,1.0297181619962852,22.3428
1b_a1.5_c10_b0.1,1b,1.5,10,0.1,True,True,51.1,462060,454892,462060,494246,462060,454892,462060,467063.6,1411197,22.4419,25398,21124,8923,15071,45118,True,True,True,True,True,True,True,8692,5802.0,6104.199999999953,18917,4423,1.02551885649681,22.4419
1b_a1.0_c10_b0.2,1b,1.0,10,0.2,True,True,46.1,461636,454892,461636,494207,461636,454892,461636,466801.4,1410734,22.3669,25398,21085,8499,15071,44655,True,True,True,True,True,True,True,8692,5378.0,5842.0,18454,4384,1.02551885649681,22.3669
1b_a1.0_c10_b0.1,1b,1.0,10,0.1,True,True,49.2,461636,454892,461636,494290,461636,454892,461636,466818.0,1410817,22.318,25398,21168,8499,15071,44738,True,True,True,True,True,True,True,8692,5378.0,5858.599999999977,18537,4467,1.02551885649681,22.318
1b_a1.5_c10_b0.2,1b,1.5,10,0.2,True,True,51.5,462060,454792,462060,494262,462060,454792,462060,467046.8,1411113,22.3912,25502,21140,8923,14971,45034,True,True,True,True,True,True,True,8592,5802.0,6087.399999999965,18833,4439,1.0297181619962852,22.3912
1b_a1.0_c10_b0.4,1b,1.0,10,0.4,True,True,42.8,461636,454792,461636,494223,461636,454792,461636,466784.6,1410650,22.3171,25502,21101,8499,14971,44571,True,True,True,True,True,True,True,8592,5378.0,5825.199999999953,18370,4400,1.0297181619962852,22.3171
1b_a0.5_c3_b0.2,1b,0.5,3,0.2,True,True,196.0,462118,454582,462118,494232,462118,454582,462118,467033.6,1410931,22.3355,25194,21110,8981,14761,44852,True,True,True,True,True,True,True,8382,5860.0,6074.199999999953,18651,4409,1.0172817572478399,22.3355
1b_a0.5_c3_b0.1,1b,0.5,3,0.1,True,True,196.0,461692,454504,461692,493955,461692,454504,461692,466707.0,1410150,22.3706,25194,20833,8555,14683,44071,True,True,True,True,True,True,True,8304,5434.0,5747.599999999977,17870,4132,1.0172817572478399,22.3706
1b_a1.5_c7_b0.1,1b,1.5,7,0.1,True,True,52.4,462062,454298,462062,494246,462062,454298,462062,466946.0,1410605,22.1984,25098,21124,8925,14477,44526,True,True,True,True,True,True,True,8098,5804.0,5986.599999999977,18325,4423,1.0134054752483244,22.1984
1b_a1.5_c7_b0.2,1b,1.5,7,0.2,True,True,52.3,462062,454298,462062,494262,462062,454298,462062,466949.2,1410621,22.1892,25098,21140,8925,14477,44542,True,True,True,True,True,True,True,8098,5804.0,5989.799999999988,18341,4439,1.0134054752483244,22.1892
1b_a1.0_c3_b0.1,1b,1.0,3,0.1,True,True,62.5,461888,454290,461888,493981,461888,454290,461888,466787.0,1410158,22.3113,25194,20859,8751,14469,44079,True,True,True,True,True,True,True,8090,5630.0,5827.599999999977,17878,4158,1.0172817572478399,22.3113
1b_a1.0_c3_b0.2,1b,1.0,3,0.2,True,True,64.6,461914,454290,461914,494066,461914,454290,461914,466819.6,1410269,22.2674,25194,20944,8777,14469,44190,True,True,True,True,True,True,True,8090,5656.0,5860.199999999953,17989,4243,1.0172817572478399,22.2674
1b_a1.5_c3_b0.1,1b,1.5,3,0.1,True,True,55.9,462730,454290,462730,494634,462730,454290,462730,467422.8,1411653,22.1133,25194,21512,9593,14469,45574,True,True,True,True,True,True,True,8090,6472.0,6463.399999999965,19373,4811,1.0172817572478399,22.1133
1b_a1.5_c7_b0.4,1b,1.5,7,0.4,True,True,45.4,461104,454216,461104,494369,461104,454216,461104,466379.4,1409688,21.8839,25292,21247,7967,14395,43609,True,True,True,True,True,True,True,8016,4846.0,5420.0,17408,4546,1.0212387951223452,21.8839
1b_a2.5_c3_b0.1,1b,2.5,3,0.1,True,True,52.7,463650,454192,463650,493505,463650,454192,463650,467729.4,1411346,22.9266,25194,20383,10513,14371,45267,True,True,True,True,True,True,True,7992,7392.0,6770.0,19066,3682,1.0172817572478399,22.9266
1b_a2.0_c3_b0.1,1b,2.0,3,0.1,True,True,47.3,464522,454162,464522,493705,464522,454162,464522,468286.6,1412389,22.9607,25194,20583,11385,14342,46310,True,True,True,True,True,True,True,7962,8264.0,7327.199999999953,20109,3882,1.0172817572478399,22.9607
1b_a1.5_c3_b0.2,1b,1.5,3,0.2,True,True,55.6,461970,454162,461970,493952,461970,454162,461970,466804.8,1410084,22.2939,25194,20830,8833,14342,44005,True,True,True,True,True,True,True,7962,5712.0,5845.399999999965,17804,4129,1.0172817572478399,22.2939
1b_a0.5_c7_b0.4,1b,0.5,7,0.4,True,True,71.3,461446,454110,461446,494220,461446,454110,461446,466533.6,1409775,22.0029,25100,21098,8309,14289,43696,True,True,True,True,True,True,True,7910,5188.0,5574.199999999953,17495,4397,1.0134862311233142,22.0029
1b_a2.5_c3_b0.2,1b,2.5,3,0.2,True,True,55.5,463654,454016,463654,493713,463654,454016,463654,467738.2,1411382,22.7213,25194,20591,10517,14195,45303,True,True,True,True,True,True,True,7816,7396.0,6778.799999999988,19102,3890,1.0172817572478399,22.7213
1b_a2.0_c3_b0.2,1b,2.0,3,0.2,True,True,56.7,462870,454016,462870,493952,462870,454016,462870,467315.6,1410838,22.4223,25194,20830,9734,14195,44759,True,True,True,True,True,True,True,7816,6612.0,6356.199999999953,18558,4129,1.0172817572478399,22.4223
1b_a1.0_c7_b0.1,1b,1.0,7,0.1,True,True,52.2,461636,453894,461636,494252,461636,453894,461636,466610.8,1409781,21.94,25098,21130,8499,14073,43702,True,True,True,True,True,True,True,7694,5378.0,5651.399999999965,17501,4429,1.0134054752483244,21.94
1b_a1.0_c7_b0.2,1b,1.0,7,0.2,True,True,46.3,461636,453894,461636,494252,461636,453894,461636,466610.8,1409781,21.94,25098,21130,8499,14073,43702,True,True,True,True,True,True,True,7694,5378.0,5651.399999999965,17501,4429,1.0134054752483244,21.94
1b_a1.0_c5_b0.2,1b,1.0,5,0.2,True,True,52.5,461446,453822,461446,494065,461446,453822,461446,466445.0,1409332,21.9765,25292,20943,8309,14001,43253,True,True,True,True,True,True,True,7622,5188.0,5485.599999999977,17052,4242,1.0212387951223452,21.9765
1b_a1.0_c5_b0.1,1b,1.0,5,0.1,True,True,56.8,461294,453822,461294,494204,461294,453822,461294,466381.6,1409320,21.8652,25292,21082,8158,14001,43241,True,True,True,True,True,True,True,7622,5036.0,5422.199999999953,17040,4381,1.0212387951223452,21.8652
1b_a1.0_c7_b0.4,1b,1.0,7,0.4,True,True,44.6,461444,453812,461444,494220,461444,453812,461444,466472.8,1409475,21.8843,25292,21098,8307,13991,43396,True,True,True,True,True,True,True,7612,5186.0,5513.399999999965,17195,4397,1.0212387951223452,21.8843
1b_a0.5_c5_b0.1,1b,0.5,5,0.1,True,True,199.2,461102,453798,461102,494016,461102,453798,461102,466224.0,1408916,21.9201,25098,20894,7966,13977,42837,True,True,True,True,True,True,True,7598,4844.0,5264.599999999977,16636,4193,1.0134054752483244,21.9201
1b_a0.5_c5_b0.4,1b,0.5,5,0.4,True,True,122.7,461446,453776,461446,494388,461446,453776,461446,466500.4,1409609,21.7764,25292,21266,8309,13955,43530,True,True,True,True,True,True,True,7576,5188.0,5541.0,17329,4565,1.0212387951223452,21.7764
1b_a1.0_c5_b0.4,1b,1.0,5,0.4,True,True,46.7,462116,453774,462116,494386,462116,453774,462116,466901.6,1410275,21.9168,25292,21264,8979,13953,44196,True,True,True,True,True,True,True,7574,5858.0,5942.199999999953,17995,4563,1.0212387951223452,21.9168
1b_a0.5_c5_b0.2,1b,0.5,5,0.2,True,True,199.0,461448,453676,461448,494016,461448,453676,461448,466407.2,1409139,21.9464,25292,20894,8311,13855,43060,True,True,True,True,True,True,True,7476,5190.0,5447.799999999988,16859,4193,1.0212387951223452,21.9464
1b_a0.5_c7_b0.2,1b,0.5,7,0.2,True,True,72.1,461638,453598,461638,494064,461638,453598,461638,466515.2,1409299,21.9282,25098,20942,8501,13777,43220,True,True,True,True,True,True,True,7398,5380.0,5555.799999999988,17019,4241,1.0134054752483244,21.9282
1b_a0.5_c7_b0.1,1b,0.5,7,0.1,True,True,43.6,461444,453598,461444,494064,461444,453598,461444,466398.8,1409105,21.8873,25098,20942,8307,13777,43026,True,True,True,True,True,True,True,7398,5186.0,5439.399999999965,16825,4241,1.0134054752483244,21.8873
1b_a1.0_c3_b0.6,1b,1.0,3,0.6,True,True,57.3,463596,453582,463596,492965,463596,453582,463596,467467.0,1410142,22.9637,25592,19843,10459,13761,44063,True,True,True,True,True,True,True,7382,7338.0,6507.599999999977,17862,3142,1.0333521763708309,22.9637
1b_a2.5_c7_b0.2,1b,2.5,7,0.2,True,True,45.7,463412,453574,463412,493712,463412,453574,463412,467504.4,1410697,22.4771,25098,20590,10275,13753,44618,True,True,True,True,True,True,True,7374,7154.0,6545.0,18417,3889,1.0134054752483244,22.4771
